cores,rts,tr,users,replica,util,mem
1.0,0.05386096698254862,0.9310344827586207,1.0,1,0.04111426082281128,0
1.0,0.05396066241103523,0.9310344827586207,1.0,1,0.04297363754559566,0
1.0,0.05395104007142695,0.9310344827586207,1.0,1,0.04301128920571606,0
1.0,0.0538403208213692,0.9310344827586207,1.0,1,0.04409165215537113,0
1.0,0.05386753294650199,0.9310344827586207,1.0,1,0.041000132806805124,0
1.0,0.05389456408920523,0.9310344827586207,1.0,1,0.04182561403508782,0
1.0,0.05400237801768526,0.9655172413793103,1.0,1,0.04345414154236742,0
1.0,0.054003189214199665,0.9655172413793103,1.0,1,0.043436982488284155,0
1.0,0.05397079092836066,0.9655172413793103,1.0,1,0.04147634879864134,0
1.0,0.053968101321256005,0.9655172413793103,1.0,1,0.0410005306706677,0
1.0,0.053998812696071194,0.9655172413793103,1.0,1,0.043084447867796666,0
1.0,0.054044491053251216,0.9655172413793103,1.0,1,0.04420293873024675,0
1.0,0.054015936749627666,0.9655172413793103,1.0,1,0.04451131025511332,0
1.0,0.05396802612475377,0.9655172413793103,1.0,1,0.04336811768450068,0
1.0,0.053961001749745004,0.9655172413793103,1.0,1,0.04336811768450068,0
1.0,0.05394958623616152,0.9310344827586207,1.0,1,0.04114050136376856,0
1.0,0.05397301649050364,0.9310344827586207,1.0,1,0.04162735284015581,0
1.0,0.05395895653522789,0.9310344827586207,1.0,1,0.043092270777284745,0
1.0,0.053888549302947855,0.9310344827586207,1.0,1,0.0419535400499127,0
1.0,0.05389179041022934,0.9310344827586207,1.0,1,0.0429641240875912,0
1.0,0.05397242760669282,0.9310344827586207,1.0,1,0.044091163658991774,0
1.0,0.0539829610531472,0.9310344827586207,1.0,1,0.0433259746038266,0
1.0,0.053839821285302084,0.9310344827586207,1.0,1,0.04232238589712628,0
1.0,0.05390212219598262,0.9310344827586207,1.0,1,0.040685893006097235,0
1.0,0.05392204835646095,0.9310344827586207,1.0,1,0.04267281025100939,0
1.0,0.053933987981508835,0.9655172413793103,1.0,1,0.04123780143479485,0
1.0,0.05390233228510104,0.9655172413793103,1.0,1,0.042269482857965925,0
1.0,0.05405620001719009,0.9655172413793103,1.0,1,0.04074032116146057,0
1.0,0.05408073612436835,0.9655172413793103,1.0,1,0.042138622764845944,0
1.0,0.05410819008855989,0.9655172413793103,1.0,1,0.04224419066893118,0
1.0,0.053979933409989043,0.9655172413793103,1.0,1,0.041799477769432124,0
1.0,0.05395819566001592,0.9655172413793103,1.0,1,0.041425725836892684,0
1.0,0.054128276446135715,0.9655172413793103,1.0,1,0.04129030253375259,0
1.0,0.054105003607089336,0.9655172413793103,1.0,1,0.04257633285302621,0
1.0,0.05400227763171291,1.0,2.0,1,0.04073494380479322,0
1.0,0.053914943440635764,1.0689655172413792,4.0,1,0.04802561511117339,0
1.0,0.05354231832338533,1.2413793103448276,6.0,1,0.04667961077378586,0
1.0,0.053108225422862164,1.4482758620689655,7.0,1,0.056257954552864385,0
1.0,0.05234607854097327,2.0,11.0,1,0.07317175043327527,0
1.0,0.05266343435387814,2.413793103448276,13.0,2,0.07102852937890393,0
1.0,0.052716384558972,2.8275862068965516,14.0,2,0.09984946854352152,0
1.0,0.052483703176607374,3.310344827586207,16.0,2,0.09710079658912982,0
1.0,0.052015037851219054,3.862068965517241,18.0,2,0.17583681182260014,0
1.0,0.05229581306313616,4.517241379310345,19.0,3,0.158635433573801,0
1.0,0.05233292309578778,5.172413793103448,21.0,3,0.20862064713939174,0
1.0,0.05191821558825115,5.896551724137931,23.0,3,0.19990225579472298,0
1.0,0.051927584792027456,6.655172413793103,24.0,3,0.2784800048425636,0
1.0,0.052588606371582323,7.482758620689655,26.0,4,0.3225576228173442,0
