cores,rts,tr,users,replica,ready_replica,util,mem
1.0,0.09248076437318434,88.72413793103448,85.0,5,8,3.5896031621830797,0
1.0,0.09124732732056678,88.0,83.0,5,8,3.5970895170968213,0
1.0,0.09059631830842334,87.79310344827586,82.0,5,7,3.612413614105053,0
1.0,0.0901999272298454,86.89655172413794,81.0,5,6,3.5091512892230234,0
1.0,0.08989140759533891,86.10344827586206,80.0,4,6,3.578332043432393,0
1.0,0.08915210631205048,85.6551724137931,79.0,4,6,3.563326931897234,0
1.0,0.08800877266802166,85.0,78.0,4,6,3.5315122168921094,0
1.0,0.0878513992607584,84.3103448275862,77.0,4,6,3.5238910665909264,0
1.0,0.08713998015376519,83.55172413793103,76.0,4,5,3.467836088325863,0
1.0,0.08631425080237991,82.89655172413794,75.0,4,5,3.455476383513914,0
1.0,0.08574804310964826,82.34482758620689,74.0,4,5,3.398422104742398,0
1.0,0.08554244694724958,81.48275862068965,73.0,4,5,3.337900714726276,0
1.0,0.08476356295962088,80.6896551724138,72.0,4,5,3.338009780374602,0
1.0,0.08421541102138343,79.82758620689656,71.0,4,5,3.2031660222589835,0
1.0,0.08388246919965317,78.89655172413794,69.0,4,5,3.1960881047752885,0
1.0,0.08253868510569413,77.03448275862068,68.0,4,5,3.1894318603662555,0
1.0,0.08235012914895008,76.13793103448276,67.0,4,5,3.1376551077351813,0
1.0,0.08186127309448174,75.20689655172414,66.0,3,4,3.0148954049764414,0
